#	资源路径配置表		
#	Id		AssetPath
#	int		string
#scene(100开始)	资源编号	策划备注	资源名称
	101	启动场景	Assets/GameMain/Scenes/GameStart/GameStart.unity
#UI(1000开始)			
	1001	主菜单	Assets/GameMain/UI/UIForms/UIMainMenuForm.prefab
	1101	测试的事件UI	Assets/GameMain/Prefeb/UIPrefab/EventPointUI/event_battleorlosecoin.prefab
	1102	商店界面	Assets/GameMain/Prefeb/UIPrefab/EventPointUI/event_store.prefab
#Item(2000			
	2000	测试子弹	Assets/GameMain/Prefeb/Bullets/bullet_handle.prefab
	2001	宽匕首	Assets/GameMain/Prefeb/Weapons/Dagger_01.prefab
	2002	单手锤	Assets/GameMain/Prefeb/Weapons/Hammer_01.prefab
	2003	剑	Assets/GameMain/Prefeb/Weapons/Sword_01.prefab
	2004	斧头	Assets/GameMain/Prefeb/Weapons/Ax_01.prefab
	2005	飞剑	Assets/GameMain/Prefeb/Bullets/SwordFly/sword2_handle.prefab
	2006	旋转斧头子弹	Assets/GameMain/Prefeb/Weapons/axe_bullet.prefab
#Entity(3000			
	3001	角色test	Assets/GameMain/Prefeb/Charactor/qizi0/KyleRobot.prefab
	3051	敌人test	Assets/GameMain/Prefeb/Charactor/enemy0/enemy0.prefab
	3052	村民	Assets/GameMain/Prefeb/Charactor/LowpolyCharacterVillager/HumanMale.prefab
#Sfx(3300			
	3301	受击特效	Assets/GameMain/Prefeb/Sfx/hitSfx/CFXR3 Hit Fire B (Air).prefab
	3302	护盾特效	Assets/GameMain/Prefeb/Sfx/ForceField/ForceField.prefab
	3303	飞剑生成光圈	Assets/GameMain/Prefeb/Sfx/PortalBlue/Portalblue.prefab
	3304	蓝色爆炸	Assets/GameMain/Prefeb/Sfx/Boom/BoomBlue.prefab
#LevelObj(3500			
	3501	商店场景	Assets/GameMain/Prefeb/LevelObj/outwild.prefab
#Sprite(4000			
	4000	苹果	Assets/GameMain/Image/Icons/ItemIcon/Apple.png
	4001	斧头	Assets/GameMain/Image/Icons/ItemIcon/FreeFolkAxe.png
	4002	子弹	Assets/GameMain/Image/Icons/ItemIcon/BattleBow.png
	4003	匕首	Assets/GameMain/Image/Icons/ItemIcon/AssassinDagger.png
	4004	护甲板	Assets/GameMain/Image/Icons/ItemIcon/SteelTowerShield.png
	4005	动能引擎	Assets/GameMain/Image/Icons/ItemIcon/SmallPotion.png
	4501	旋转斧头	Assets/GameMain/Image/Icons/ItemIcon/BerserkAxe.png
	4502	反甲	Assets/GameMain/Image/Icons/ItemIcon/DarkMountain.png
	4503	充能护甲	Assets/GameMain/Image/Icons/ItemIcon/GreyKnight.png
	4504	技能护盾	Assets/GameMain/Image/Icons/ItemIcon/UI_Skill_Icon_Reflect.png
	4505	飞剑	Assets/GameMain/Image/Icons/ItemIcon/UI_Skill_Icon_SpiritArrows.png
	4506	施法飞剑	Assets/GameMain/Image/Icons/ItemIcon/UI_Skill_Icon_Arrow_Barrage.png
	4507	挥砍	Assets/GameMain/Image/Icons/ItemIcon/UI_Skill_Icon_Slash.png
	4508	狂热	Assets/GameMain/Image/Icons/ItemIcon/UI_Skill_Icon_Buff.png
	4800	关卡小怪	Assets/GameMain/Image/Icons/MazePointIcon/0.png
	4801	关卡精英怪	Assets/GameMain/Image/Icons/MazePointIcon/1.png
	4802	关卡boss	Assets/GameMain/Image/Icons/MazePointIcon/1.png
	4803	关卡未知	Assets/GameMain/Image/Icons/MazePointIcon/3.png
	4804	关卡商店	Assets/GameMain/Image/Icons/MazePointIcon/4.png
	4805	关卡宝箱	Assets/GameMain/Image/Icons/MazePointIcon/5.png
	4806	关卡事件	Assets/GameMain/Image/Icons/MazePointIcon/3.png
	4807	关卡空	Assets/GameMain/Image/Icons/MazePointIcon/3.png
#Anim(6000			
	6001	僵尸idle	Assets/GameMain/Prefeb/Charactor/enemy0/Z_Idle.anim
	6002	僵尸run	Assets/GameMain/Prefeb/Charactor/enemy0/Z_Run.anim
	6003	僵尸攻击	Assets/GameMain/Animation/Skill/Z_Attack.anim
	6004	僵尸倒地	Assets/GameMain/Prefeb/Charactor/enemy0/Z_FallingBack.anim
	6011	主角idle	Assets/GameMain/Prefeb/Charactor/qizi0/WAIT00.anim
	6012	主角run	Assets/GameMain/Prefeb/Charactor/qizi0/RUN00_F.anim
	6013	胜利	Assets/GameMain/Animation/Victory.anim
	6014	失败	Assets/GameMain/Animation/Defeat.anim
	6101	挥砍	Assets/GameMain/Animation/Skill/HorizontalSwing.anim
	6102	二郎神开	Assets/GameMain/Animation/Skill/shield_power.anim
	6103	施法开始	Assets/GameMain/Animation/Skill/SpellCast_Start.anim
	6104	施法loop	Assets/GameMain/Animation/Skill/CastingLoop.anim
	6105	施法结束	Assets/GameMain/Animation/Skill/SpellCast_End.anim
#Sound(10000			
	10001	开始界面背景音乐	Assets/GameMain/Audio/Ambient_StartTitle.wav
	10002	UI按钮音效	Assets/GameMain/Audio/SFX_UI_Button_Keyboard_Enter_Thick_2.wav
	10003	提示界面出场音效	Assets/GameMain/Audio/SFX_UI_Click_Designed_Liquid_Negative_Close_1.wav
	10004	战斗音乐	Assets/GameMain/Audio/Action 3 (Loop).wav
	10005	战斗胜利	Assets/GameMain/Audio/Victory.wav
	12001	飞剑生成音效	Assets/GameMain/Audio/SFX_UI_Click_Designed_Plastic_Metallic_Negative_Close_1.wav
	12002	飞剑飞行音效	Assets/GameMain/Audio/electronic_01.wav
	12003	飞剑命中音效	Assets/GameMain/Audio/cutting_with_a_katana.wav
	12004	爆炸音效	Assets/GameMain/Audio/short_bomb.mp3
	12005	电击声	Assets/GameMain/Audio/electronic_02.wav
	12006	切割声	Assets/GameMain/Audio/SWORD_27.wav
	12007	子弹命中声	Assets/GameMain/Audio/Bullet Impact 14.wav
